State,Under25,25To44,45To64,65Above
National,35048,58226,63882,54184
Alabama,27050,59945,66253,42673
Alaska,44078,86218,95939,62935
Arizona,39880,72443,79030,52250
Arkansas,31919,58410,60778,40259
California,44205,90138,98785,60832
Colorado,43365,87239,96439,58270
Connecticut,42038,87411,104155,60256
Delaware,36302,74893,86798,60631
District of Columbia,34502,75993,81898,52731
Florida,36500,66433,72740,49257
Georgia,36088,68527,78375,47881
Hawaii,50606,89827,102150,75602
Idaho,37926,70146,74721,48649
Illinois,34424,80059,87986,51237
Indiana,32864,68146,75767,45864
Iowa,38555,74654,79713,47401
Kansas,35320,71976,78885,49216
Kentucky,32699,64245,65022,41677
Louisiana,29032,60800,62999,40352
Maine,41563,74827,74619,45579
Maryland,45559,94783,110664,65655
Massachusetts,47171,101601,109641,56483
Michigan,35152,70251,76804,48046
Minnesota,42756,88800,94880,52710
Mississippi,27906,53708,57121,38478
Missouri,33312,69318,72907,45364
Montana,32413,69192,71064,47015
Nebraska,37748,75033,81188,48639
Nevada,42553,68980,76889,51989
New Hampshire,52926,92836,101817,56845
New Jersey,42764,97523,108974,60697
New Mexico,30939,58701,62148,45450
New York,39366,85570,88827,51837
North Carolina,35016,66559,71754,45261
North Dakota,36708,77355,85510,48130
Ohio,34966,69071,74999,46112
Oklahoma,33672,63274,66678,46258
Oregon,37990,79576,82833,52895
Pennsylvania,35924,77704,82539,47153
Rhode Island,36658,78332,91477,50765
South Carolina,32671,64281,67842,46289
South Dakota,36890,71901,76949,47146
Tennessee,36203,64728,68865,44459
Texas,35115,72082,80762,49599
Utah,43564,83643,99306,59518
Vermont,36246,78988,80368,51650
Virginia,40953,86973,99057,57591
Washington,45745,92003,100122,57423
West Virginia,27814,59761,59223,40256
Wisconsin,37323,75932,81802,48793
Wyoming,32895,77657,81693,50854